"Aderhold, Carl","Mort aux cons",,0
"Bach, Richard","Jonathan Livingstone le goéland",librio,0
"Barjavel, René","Les chemins de Katmandou",,0
"Baudelaire, Charles","Les fleurs du mal",,1
"Baudelaire, Charles","Les paradis artificiels",,1
"Beigbeder, Frédéric","99 Francs",,0
"Burroughs, William Seward","Le festin nu",,0
"Camus, Albert",L'étranger,,0
"Chattam, Maxime",Carnages,,0
"Chattam, Maxime","Le 5ème règne",,1
"Chattam, Maxime","Le cycle de l'homme 1: Les arcanes du chaos",,1
"Chattam, Maxime","Le cycle de l'homme 2: Predateurs",,1
"Chattam, Maxime","Le cycle de l'homme 3: La théorie Gaïa",,1
"Chattam, Maxime","Le sang du temps",,0
"Chattam, Maxime","Trilogie du mal 1: L'âme du mal",,1
"Chattam, Maxime","Trilogie du mal 2: In tenebris",,1
"Chattam, Maxime","Trilogie du mal 3: Maléfices",,1
"Clarke, Arthur Charles","2001-3001, Les odyssées de l'espace",broché,0
"Clarke, Arthur Charles","Rama: l'intégrale (2 tomes)",broché,0
"Coben, Harlan","Rupture de contrat",,0
Coluche,"Et vous trouvez ça drôle ?",,0
"Daeninckx, Didier","Le Poulpe 7: Nazis dans le métro",librio,0
"Delteil, Gérard","Le Poulpe 16: Chili incarné",librio,0
"Ellis, Bret Easton","American psycho",,1
"Ellroy, James","American tabloid",,0
"Finigan, Dave","La jonglerie, un plaisir simple et facile",broché,0
"Gary, Romain","La vie devant soi",,1
"Gary, Romain","Les clowns lyriques",,0
"Gary, Romain (Emile Ajar)",Gros-Câlin,broché,0
"Gary, Romain (Emile Ajar)",Pseudo,,0
"Gautier, Théophile","Le roman de la momie",librio,0
"Gibran, Khalil","Le prophète",librio,0
"Gibson, William","Neuromentique 1: Neuromencien",,0
"Gibson, William","Neuromentique 2: Compte Zéro",,0
"Gibson, William","Neuromentique 3: Mona Lisa s'éclate",,0
"Gogol, Nicolaï Vassilievitch","Le journal d'un fou",libro,1
"Haddon, Mark","Le bizarre incident du chien durant la nuit",,1
"Hampaté-Bâ, Amadou","L'étrange destin de Wangrin",,0
"Harris, Thomas","Hannibal Lecter 1: Dragon rouge",,0
"Harris, Thomas","Hannibal Lecter 2: Le silence des agneaux",,0
"Harris, Thomas","Hannibal Lecter 3: Hannibal",broché,0
"Harris, Thomas","Hannibal Lecter 4: Hannibal, les origines du mal",broché,0
"Herbert, James","Les rats 1: Les rats",,0
"Herbert, James","Les rats 2: Le repaire des rats",,0
"Herbert, James","Les rats 3: L'empire des rats",,0
"Hobb, Robin","Assassin Royal 1: L'apprenti assassin",,1
"Hobb, Robin","Assassin Royal 2: L'assassin du roi",,1
"Hobb, Robin","Assassin Royal 3: La nef du crepuscule",,1
"Hobb, Robin","Assassin Royal 4: Le poison de la vengeance",,1
"Hobb, Robin","Assassin Royal 5: La voie magique",,1
Homère,L'Iliade,librio,0
"Houellebecq, Michel","Extension du domaine de la lutte",,0
"Huxley, Aldous","Le meilleur des mondes",,1
"Jarry, Alfred","Ubu roi",librio,0
"Kafka, Franz","La métamorphose/Dans la colonie pénitentiaire",librio,0
"Kerouac, Jack","Les anges vagabonds",,0
"Kerouac, Jack","Sur la route",,1
"King, Stephen",Carrie,,0
"King, Stephen",Chantier,,0
"King, Stephen","La Ballade De La Balle Elastique/L'homme Qui Refusait De Serrer La Main",librio,0
"King, Stephen","La ligne verte (6 tomes)",librio,1
"King, Stephen","La part des ténèbres",,0
"King, Stephen",Misery,,0
"Kundera, Milan","La lenteur",,0
"Kundera, Milan","Le livre du rire et de l'oubli",,0
"Kundera, Milan",L'identité,,0
"Kundera, Milan",L'immortalité,,0
"Kundera, Milan","L'insoutenable légèreté de l'être",,0
"Larsson, Stieg","Millenium 1: Les hommes qui n'aimaient pas les femmes",broché,0
"Leonard, Elmore","Punch créole",,0
"Leroux, Gaston","Le fauteuil hanté",librio,0
"Lewis, Roy","Pourquoi j'ai mangé mon père",,0
"Lindsay, Jeff","Dexter 1: Ce cher Dexter",,1
"Lindsay, Jeff","Dexter 2: Le passager noir/Dexter revient",,1
"Lindsay, Jeff","Dexter 3: Les démons de Dexter",,1
"Lovecraft, Howard Phillips","La Quête onirique de Kadath l'inconnue",librio,0
"Lovecraft, Howard Phillips","Les autres dieux",,0
"Malzieu, Mathias","La Mécanique du coeur",,0
"Malzieu, Mathias","Maintenant Qu'il Fait Tout Le Temps Nuit Sur Toi",,0
"Maupassant, Guy de","Le docteur Héraclius Gloss",librio,0
"Musset, Alfred de","Les caprices de Marianne",librio,0
"Nothomb, Amélie","Stupeur et tremblements",,0
"Orwell, George",1984,,1
"Orwell, George","La ferme des animaux",,1
"Palahniuk, Chuck","Fight Club",,1
"Palahniuk, Chuck",Peste,,1
"Perec, Georges","La disparition",broché,1
"Perec, Georges","La vie mode d'emploi",,0
"Perrault, Charles","Contes de ma Mère l'Oye",librio,0
"Pouy, Jean-Bernard","Le Poulpe 1: La petite écuyère a cafté",librio,0
"Pratchett, Terry","Disque Monde 01: La huitième couleur",,1
"Pratchett, Terry","Disque Monde 02: Le huitième sortilège",,1
"Pratchett, Terry","Disque Monde 03: La huitième fille",,1
"Pratchett, Terry","Disque Monde 04: Mortimer",,1
"Pratchett, Terry","Disque Monde 05: Sourcellerie",,1
"Pratchett, Terry","Disque Monde 06: Trois soeurcières",,1
"Pratchett, Terry","Disque Monde 07: Pyramides",,1
"Pratchett, Terry","Disque Monde 08: Au guet !",,1
"Pratchett, Terry","Disque Monde 09: Éric",,1
"Pratchett, Terry","Disque Monde 10: Les Zinzins d'Olive-Oued",,1
"Pratchett, Terry","Disque Monde 11: Le faucheur",,1
"Pratchett, Terry","Disque Monde 12: Mécomptes de fées",,1
"Pratchett, Terry","Disque Monde 13: Les petits dieux",,1
"Pratchett, Terry","Disque Monde 14: Nobliaux et sorcières",,1
"Pratchett, Terry","Disque Monde 15: Le guêt des orfèvres",,1
"Pratchett, Terry","Disque Monde 16: Accrocs du roc",,1
"Pratchett, Terry","Disque Monde 17: Les tribulations d'un mage en Aurient",,1
"Pratchett, Terry","Disque Monde 19: Pieds d'argile",,1
"Pratchett, Terry","Disque Monde 20: Le père porcher",,1
"Pratchett, Terry","Le grand livre des gnomes (3 tomes)",,0
"Pratchett, Terry","Le peuple du Tapis",librio,0
"Proust, Marcel","Sur la lecture",librio,0
"Queneau, Raymond","Zazie dans le métro",,0
"Rambaud, Patrick","Chronique du règne de Nicolas 1er",,0
"Rambaud, Patrick","Deuxième chronique du règne de Nicolas 1er",,0
"Reboux, Jean-Jacques","Le Poulpe 12: Cerise Sur Le Gâteux",librio,0
"Roberts, A3R","La ""der"" des étoiles",broché,0
"Schopenhauer, Arthur","L'art d'avoir toujours raison",,1
"Seignolle, Claude","Récits cruels",,1
Sempé-Goscinny,"Petit Nicolas 1: Le petit Nicolas",,1
Sempé-Goscinny,"Petit Nicolas 2: Les récrés du petit Nicolas",,1
"Solenn, Guy / Civico, Alexandre","Comment glander au bureau en passant pour un pro",,1
"Tabachnik, Maud","Lâchez les chiens !",librio,0
"Teulé, Jean","Le magasin des suicides",,0
"Teulé, Jean","Le Montespan",,1
"Thompson, Hunter Stockton","Las Vegas Parano",,1
"Twain, Mark","Les aventures de Tom Sawyer",,0
"Wells, Herbert George","La guerre des mondes",,0
"Werber, Bernard","Le père de nos pères",,0
"Werber, Bernard","Nos amis les humains",,0
